Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,108.389999,109.190002,108.070000,108.690002,102.279396,778500
2014-05-28,108.699997,108.980003,108.010002,108.129997,101.752441,777000
2014-05-29,108.349998,108.800003,107.519997,108.680000,102.269981,670300
2014-05-30,108.739998,109.330002,108.389999,109.190002,102.749901,731900
2014-06-02,109.120003,109.459999,108.410004,109.040001,102.608749,489100
2014-06-03,108.809998,109.650002,108.760002,109.129997,102.693436,605200
2014-06-04,108.720001,110.029999,108.250000,109.980003,103.493309,692300
2014-06-05,109.970001,110.209999,108.660004,109.800003,103.323921,649800
2014-06-06,110.040001,110.699997,109.739998,110.339996,103.832069,486100
2014-06-09,110.250000,110.629997,109.550003,110.050003,103.559204,837800
2014-06-10,109.919998,110.260002,109.519997,110.059998,103.568596,862500
2014-06-11,109.570000,109.889999,109.070000,109.330002,102.881660,498400
2014-06-12,108.889999,109.550003,108.000000,108.339996,101.950027,625100
2014-06-13,107.989998,108.279999,107.279999,108.150002,102.030235,500100
2014-06-16,107.820000,108.040001,107.059998,107.750000,101.652878,768600
2014-06-17,107.629997,108.389999,107.190002,107.800003,101.700043,775900
2014-06-18,107.769997,108.550003,106.910004,108.430000,102.294395,972400
2014-06-19,108.430000,108.699997,108.099998,108.379997,102.247215,665300
2014-06-20,108.720001,109.000000,108.430000,108.680000,102.530243,1042000
2014-06-23,108.910004,108.970001,107.940002,108.320000,102.190613,800000
2014-06-24,108.339996,108.779999,107.120003,107.180000,101.115120,956900
2014-06-25,107.290001,108.089996,107.029999,107.449997,101.369843,861700
2014-06-26,107.500000,107.500000,106.309998,107.260002,101.190590,1175800
2014-06-27,106.849998,108.750000,106.849998,108.629997,102.483063,1403600
2014-06-30,108.989998,111.570000,108.680000,111.339996,105.039726,2148600
2014-07-01,111.720001,112.269997,110.879997,111.529999,105.218964,1198800
2014-07-02,111.180000,111.849998,110.360001,110.629997,104.369911,683200
2014-07-03,111.089996,111.110001,110.410004,110.610001,104.351021,589300
2014-07-07,110.199997,110.500000,109.419998,110.279999,104.039696,791200
2014-07-08,110.169998,110.519997,109.930000,110.400002,104.152924,815200
2014-07-09,110.750000,110.930000,109.620003,110.269997,104.030273,638000
2014-07-10,109.570000,110.230003,109.209999,110.010002,103.784981,642000
2014-07-11,109.809998,109.970001,108.949997,109.589996,103.388741,499400
2014-07-14,109.980003,110.370003,109.779999,109.879997,103.662346,660400
2014-07-15,110.000000,110.519997,109.620003,110.230003,103.992523,1046300
2014-07-16,110.680000,110.919998,110.269997,110.580002,104.322731,899100
2014-07-17,109.970001,110.629997,109.639999,109.980003,103.756691,852700
2014-07-18,110.199997,110.660004,109.620003,110.430000,104.181213,797300
2014-07-21,109.660004,109.889999,109.040001,109.389999,103.200073,694600
2014-07-22,109.790001,110.430000,109.559998,109.980003,103.756691,821800
