Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,15.110000,15.150000,14.570000,14.620000,14.425860,13564600
2014-05-28,14.640000,14.870000,14.420000,14.780000,14.583735,18006500
2014-05-29,14.860000,14.950000,14.560000,14.580000,14.386392,13247700
2014-05-30,14.400000,14.420000,14.090000,14.100000,13.912766,26307700
2014-06-02,13.980000,14.000000,13.660000,13.850000,13.666084,18589900
2014-06-03,13.810000,14.110000,13.730000,13.990000,13.804226,11242900
2014-06-04,13.990000,14.010000,13.660000,13.720000,13.537810,13519900
2014-06-05,13.870000,13.900000,13.620000,13.710000,13.527945,11807700
2014-06-06,14.480000,14.770000,14.320000,14.760000,14.564002,29967200
2014-06-09,14.790000,15.280000,14.590000,15.140000,14.938956,21430100
2014-06-10,15.070000,15.340000,14.880000,15.300000,15.096830,14666800
2014-06-11,15.490000,15.790000,15.310000,15.660000,15.452049,26094800
2014-06-12,15.610000,15.830000,15.430000,15.480000,15.274440,12504000
2014-06-13,15.660000,15.920000,15.470000,15.870000,15.659262,16536500
2014-06-16,15.880000,15.980000,15.680000,15.800000,15.590192,19839500
2014-06-17,15.560000,15.810000,15.150000,15.520000,15.313910,17035500
2014-06-18,15.330000,15.960000,15.270000,15.940000,15.728332,17952200
2014-06-19,15.790000,15.890000,15.510000,15.690000,15.481651,11639500
2014-06-20,15.700000,15.950000,15.660000,15.760000,15.550722,16547600
2014-06-23,15.740000,15.740000,15.520000,15.630000,15.422449,10203900
2014-06-24,15.610000,15.980000,14.860000,14.980000,14.781079,27849200
2014-06-25,14.910000,15.160000,14.640000,14.740000,14.544267,31146600
2014-06-26,14.800000,14.840000,14.430000,14.800000,14.603470,15754400
2014-06-27,14.750000,14.840000,14.510000,14.630000,14.435727,12076400
2014-06-30,14.800000,14.800000,14.450000,14.630000,14.435727,13256600
2014-07-01,14.700000,14.810000,14.360000,14.570000,14.376525,12649700
2014-07-02,14.540000,14.620000,14.280000,14.440000,14.248251,14356200
2014-07-03,14.360000,14.550000,14.250000,14.490000,14.297586,12192700
