Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,43.130001,43.150002,42.930000,43.070000,38.448444,720600
2014-05-28,42.360001,42.580002,42.099998,42.360001,37.814629,948300
2014-05-29,42.520000,42.570000,42.230000,42.419998,37.868191,649100
2014-05-30,42.220001,42.400002,42.080002,42.279999,37.743210,849600
2014-06-02,42.279999,42.410000,42.189999,42.340000,37.796772,558400
2014-06-03,42.830002,42.869999,42.570000,42.779999,38.189564,595300
2014-06-04,42.889999,43.099998,42.860001,43.070000,38.448444,659900
2014-06-05,43.009998,43.509998,42.810001,43.500000,38.832302,978600
2014-06-06,43.459999,43.590000,43.180000,43.540001,38.868015,1168700
2014-06-09,43.500000,43.650002,43.160000,43.200001,38.564491,577900
2014-06-10,43.939999,44.619999,43.930000,44.529999,39.751778,1031800
2014-06-11,44.340000,44.470001,44.200001,44.419998,39.653576,1799200
2014-06-12,45.320000,45.580002,45.200001,45.490002,40.608768,1057100
2014-06-13,44.910000,45.040001,44.639999,44.759998,39.957100,1343600
2014-06-16,45.560001,45.770000,45.419998,45.720001,40.814087,768500
2014-06-17,46.360001,46.500000,46.209999,46.459999,41.474682,1004500
2014-06-18,46.310001,46.529999,46.070000,46.509998,41.519321,512900
2014-06-19,46.110001,46.360001,46.090000,46.220001,41.260433,460300
2014-06-20,46.439999,46.549999,46.169998,46.520000,41.528240,955900
2014-06-23,46.119999,46.220001,45.810001,46.080002,41.135460,1102600
2014-06-24,45.950001,46.000000,45.580002,45.669998,40.769455,575700
2014-06-25,45.590000,45.779999,45.509998,45.770000,40.858723,1004300
2014-06-26,45.779999,46.009998,45.480000,45.910000,40.983696,715700
2014-06-27,45.759998,46.020000,45.709999,45.910000,40.983696,615000
2014-06-30,45.919998,46.250000,45.880001,46.189999,41.233654,708100
2014-07-01,45.970001,46.410000,45.919998,46.290001,41.322926,928900
2014-07-02,46.290001,46.430000,46.240002,46.430000,41.447903,553400
2014-07-03,46.470001,46.540001,46.259998,46.509998,41.519321,413800
