Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,80.860214,81.030464,80.582436,80.896057,67.166725,2627300
2014-05-28,80.788528,80.878136,80.528671,80.546593,66.876572,2300200
2014-05-29,80.869179,80.887100,80.564514,80.788528,67.077438,606200
2014-05-30,80.161293,80.734764,80.071686,80.698921,67.003036,4567600
2014-06-02,79.802864,79.802864,79.292114,79.641579,66.125145,2055000
2014-06-03,79.758064,79.820786,79.372757,79.641579,66.125145,1883000
2014-06-04,79.408600,79.471329,79.059143,79.247314,65.797798,2897800
2014-06-05,79.139786,79.596771,78.996414,79.489250,65.998665,1313000
2014-06-06,79.883514,79.937279,79.596771,79.758064,66.221863,1192100
2014-06-09,79.847672,80.044800,79.650536,79.847672,66.296265,1325100
2014-06-10,80.878136,81.120071,80.654121,81.120071,67.352722,2345900
2014-06-11,80.618279,80.645164,80.152328,80.206093,66.593857,1147000
2014-06-12,80.044800,80.215057,79.883514,80.008957,66.430183,959100
2014-06-13,79.883514,80.232971,79.784943,80.053764,66.467377,725000
2014-06-16,80.770607,81.048386,80.698921,80.994621,67.248566,1085200
2014-06-17,80.456985,80.636200,80.259857,80.519714,66.854248,932600
2014-06-18,80.698921,81.048386,80.430107,81.003586,67.255989,989800
2014-06-19,81.317207,81.496414,81.182793,81.406807,67.590782,818300
2014-06-20,81.326164,81.621864,81.254478,81.523300,67.687508,1098400
2014-06-23,81.111115,81.129036,80.752686,81.066307,67.308075,832900
2014-06-24,81.433693,81.442650,81.066307,81.120071,67.352722,979000
2014-06-25,80.681007,80.985664,80.609322,80.949821,67.211357,1404300
2014-06-26,80.654121,80.949821,80.268814,80.815414,67.099762,1315200
2014-06-27,80.752686,81.129036,80.564514,80.985664,67.241127,814100
2014-06-30,81.120071,81.236557,80.833336,81.120071,67.352722,1285500
2014-07-01,81.774193,82.132614,81.639786,81.962364,68.052055,796700
2014-07-02,81.711472,82.016129,81.568100,81.980286,68.066940,533200
2014-07-03,81.594978,81.953407,81.496414,81.926521,68.022308,896400
2014-07-07,81.021507,81.137993,80.824371,80.905022,67.174164,1351700
2014-07-08,81.003586,81.030464,80.098564,80.215057,66.601295,2034600
2014-07-09,79.982079,80.743729,79.973122,80.707886,67.010483,937800
2014-07-10,79.820786,80.528671,79.820786,80.474907,66.817047,955400
2014-07-11,79.632614,80.394264,79.560928,80.215057,66.601295,1021600
2014-07-14,80.851257,81.030464,80.743729,80.869179,67.144402,702400
2014-07-15,81.173836,81.317207,80.600357,80.770607,67.062561,1150600
2014-07-16,81.039429,81.039429,80.627243,80.681007,66.988167,941200
2014-07-17,79.202507,79.883514,78.969536,79.327957,65.864761,2539300
2014-07-18,79.381721,79.758064,79.166664,79.587814,66.080505,1708000
2014-07-21,79.256271,79.686378,79.193550,79.381721,65.909401,1158000
2014-07-22,79.758064,80.116486,79.686378,79.982079,66.407860,1057200
2014-07-23,79.758064,79.928314,79.462364,79.767029,66.229309,1138900
2014-07-24,79.937279,80.062721,79.713264,79.865593,66.311142,817200
2014-07-25,79.543015,79.543015,79.041222,79.220428,65.775467,773600
2014-07-28,78.996414,78.996414,78.405022,78.646950,65.299316,1323100
2014-07-29,79.318993,79.363800,78.960571,79.041222,65.626678,941300
2014-07-30,79.363800,79.417564,78.853050,79.247314,65.797798,1128200
2014-07-31,78.664871,78.853050,77.903229,77.903229,64.681824,1202500
2014-08-01,77.141579,78.279572,77.141579,77.867386,64.652061,1538500
2014-08-04,78.216843,78.216843,77.526878,77.983871,64.748779,1372800
2014-08-05,78.181007,78.216843,77.374550,77.473122,64.324707,939900
2014-08-06,76.424728,77.329750,76.424728,77.186378,64.086632,1005700
2014-08-07,76.630821,76.765236,76.308243,76.388885,63.424480,1273900
2014-08-08,75.860214,76.630821,75.645164,76.478493,63.498882,1184600
2014-08-11,77.159500,77.213264,76.693550,76.738350,63.714645,977400
2014-08-12,76.810036,77.365593,76.747314,77.240143,64.131271,1717600
2014-08-13,77.437279,77.813622,77.204300,77.661293,64.480957,697600
2014-08-14,78.118279,78.315414,77.930107,78.261650,64.979408,481200
2014-08-15,78.611115,78.727600,77.293907,77.894264,64.674385,972100
2014-08-18,78.163086,78.512543,78.163086,78.405022,65.098450,655100
2014-08-19,79.059143,79.534050,78.906807,79.417564,65.939148,995100
2014-08-20,79.256271,79.704300,79.157707,79.390678,65.916832,562200
2014-08-21,79.731186,80.062721,79.659500,79.704300,66.177223,2215900
2014-08-22,79.964157,80.053764,79.596771,79.704300,66.177223,727000
2014-08-25,79.596771,80.179214,79.596771,79.847672,66.296265,874500
2014-08-26,80.188171,80.600357,80.134407,80.385307,66.742653,1154400
2014-08-27,80.869179,80.896057,80.465950,80.645164,66.958412,1247800
2014-08-28,80.008957,80.528671,79.928314,80.403229,66.757538,1384100
2014-08-29,80.456985,80.636200,80.206093,80.501793,66.839363,1062400
2014-09-02,83.288528,83.978493,83.216843,83.969536,69.718582,6204800
2014-09-03,84.784943,84.820786,84.363800,84.417564,70.090576,1799700
2014-09-04,84.059143,84.130821,83.315414,83.629036,69.435875,1751700
2014-09-05,83.198921,83.709679,83.091400,83.575272,69.391235,1560800
2014-09-08,83.566307,83.870964,83.396057,83.584229,69.398666,1437200
2014-09-09,84.121864,84.453407,83.960571,84.077065,69.807861,1250000
2014-09-10,83.879929,84.318993,83.817207,84.238350,69.941780,867000
2014-09-11,84.354836,84.632614,84.220428,84.551971,70.202164,1058200
2014-09-12,84.023300,84.112900,83.673836,84.014336,69.755775,1205600
2014-09-15,83.906807,84.578850,83.826164,84.390678,70.068253,763600
2014-09-16,84.175629,84.767029,83.960571,84.569893,70.217049,914800
2014-09-17,85.170250,85.573479,84.775986,84.874550,70.470001,1166200
2014-09-18,84.390678,84.946236,84.363800,84.946236,70.529526,858900
2014-09-19,84.086021,84.381721,83.906807,84.139786,69.859940,2746100
2014-09-22,84.596771,84.641579,83.844086,84.283157,69.978973,1410600
2014-09-23,83.709679,84.059143,83.655914,83.700714,69.495377,2183900
2014-09-24,83.691757,83.924728,83.351257,83.808243,69.584663,3173100
2014-09-25,83.790321,83.906807,83.270607,83.297493,69.160591,1986100
2014-09-26,83.512543,83.790321,83.064514,83.494621,69.324265,1274500
2014-09-29,83.799286,84.103943,83.629036,83.835129,69.606979,932100
2014-09-30,84.265236,84.802864,84.220428,84.345879,70.031052,2155200
2014-10-01,84.677422,84.686378,83.378136,83.530464,69.354027,2140900
2014-10-02,84.193550,84.193550,83.001793,83.369179,69.220108,2010700
2014-10-03,82.401436,83.019714,82.347672,82.768814,68.721642,1798900
2014-10-06,82.786736,83.127243,82.571686,82.965950,68.885323,1125000
2014-10-07,81.057350,81.191757,80.358421,80.403229,66.757538,2380000
2014-10-08,79.704300,81.388885,79.686378,81.326164,67.523827,1501000
2014-10-09,80.949821,81.146950,79.641579,79.775986,66.236748,1548700
2014-10-10,79.229393,79.471329,78.575272,78.575272,65.239807,1873200
2014-10-13,79.390678,79.569893,78.198921,78.270607,64.986847,2312700
2014-10-14,78.288528,78.709679,77.777779,77.840500,64.629738,1790300
2014-10-15,77.410393,77.553764,75.887100,77.258064,64.146149,2258600
2014-10-16,75.510750,76.729393,75.421150,76.182793,63.253372,3497900
2014-10-17,77.500000,78.172043,77.105736,77.625450,64.451180,1816400
