date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-01-01 01:00:00,-2.2,43.98,6.17,360.0,0.0,0.0,0.0
2018-01-01 02:00:00,-2.8,47.88,5.66,350.0,0.0,0.0,0.0
2018-01-01 03:00:00,-3.6,48.02,5.14,340.0,0.0,0.0,0.0
2018-01-01 04:00:00,-4.2,49.02,6.69,350.0,0.0,0.0,0.0
2018-01-01 05:00:00,-4.5,48.93,5.66,350.0,0.0,0.0,0.0
2018-01-01 06:00:00,-4.9,51.68,7.72,350.0,0.0,0.0,0.0
2018-01-01 07:00:00,-5.3,53.71,6.17,350.0,0.0,0.0,0.0
2018-01-01 08:00:00,-4.5,50.97,8.23,340.0,58.5,332.5,27.5
2018-01-01 09:00:00,-3.4,47.69,5.66,10.0,208.5,578.5,65.5
2018-01-01 10:00:00,-2.7,46.01,6.69,350.0,335.5,565.5,110.5
2018-01-01 11:00:00,-1.4,41.79,8.23,350.0,426.5,530.5,159.5
2018-01-01 12:00:00,-0.9,39.8,5.66,180.0,481.0,532.5,183.0
2018-01-01 13:00:00,-0.2,37.365,6.945,355.0,498.0,581.5,170.0
2018-01-01 14:00:00,0.0,38.04,5.66,340.0,474.5,668.5,134.0
2018-01-01 15:00:00,0.8,35.03,6.69,360.0,438.5,902.5,62.5
2018-01-01 16:00:00,0.5,35.8,4.12,10.0,275.5,808.0,50.5
2018-01-01 17:00:00,-0.9,39.96,6.17,360.0,89.0,504.0,30.0
2018-01-01 18:00:00,-2.0,45.85,3.6,360.0,0.0,0.0,0.0
2018-01-01 19:00:00,-2.3,45.76,3.6,360.0,0.0,0.0,0.0
2018-01-01 20:00:00,-2.9,49.02,3.6,350.0,0.0,0.0,0.0
2018-01-01 21:00:00,-3.5,50.04,3.6,350.0,0.0,0.0,0.0
2018-01-01 22:00:00,-4.2,54.03,4.63,350.0,0.0,0.0,0.0
2018-01-01 23:00:00,-4.7,55.66,4.12,350.0,0.0,0.0,0.0
2018-01-02 00:00:00,-5.1,56.91,4.12,10.0,0.0,0.0,0.0
2018-01-02 01:00:00,-5.3,58.72,4.12,10.0,0.0,0.0,0.0
2018-01-02 02:00:00,-5.5,57.72,4.12,10.0,0.0,0.0,0.0
2018-01-02 03:00:00,-5.8,60.02,4.63,20.0,0.0,0.0,0.0
2018-01-02 04:00:00,-6.1,59.94,4.12,20.0,0.0,0.0,0.0
2018-01-02 05:00:00,-6.5,60.81,3.6,20.0,0.0,0.0,0.0
2018-01-02 06:00:00,-6.8,62.74,3.6,10.0,0.0,0.0,0.0
2018-01-02 07:00:00,-7.0,64.75,3.09,10.0,0.0,0.0,0.0
2018-01-02 08:00:00,-6.0,59.97,3.6,20.0,63.5,381.5,26.5
2018-01-02 09:00:00,-4.1,52.77,4.12,10.0,244.0,759.5,49.0
2018-01-02 10:00:00,-2.3,48.81,3.6,40.0,418.5,896.0,60.5
2018-01-02 11:00:00,-0.7,44.8,0.0,0.0,548.5,956.5,66.5
2018-01-02 12:00:00,1.2,39.04,2.57,320.0,620.0,980.5,70.5
2018-01-02 13:00:00,2.4,35.82,2.06,310.0,625.0,983.0,70.5
2018-01-02 14:00:00,3.1,33.01,2.06,360.0,561.0,957.0,67.0
2018-01-02 15:00:00,4.0,30.0,4.12,50.0,423.5,836.0,71.0
2018-01-02 16:00:00,4.1,27.92,4.12,350.0,255.0,709.0,59.0
2018-01-02 17:00:00,2.1,32.96,2.57,350.0,87.5,476.0,30.5
2018-01-02 18:00:00,0.5,43.07,1.54,320.0,0.0,0.0,0.0
2018-01-02 19:00:00,-0.2,47.9,1.54,320.0,0.0,0.0,0.0
2018-01-02 20:00:00,0.1,43.99,3.09,360.0,0.0,0.0,0.0
2018-01-02 21:00:00,-0.1,46.07,3.09,20.0,0.0,0.0,0.0
2018-01-02 22:00:00,-0.6,49.71,2.57,10.0,0.0,0.0,0.0
2018-01-02 23:00:00,-0.3,49.02,3.09,40.0,0.0,0.0,0.0
2018-01-03 00:00:00,-0.8,53.73,2.06,10.0,0.0,0.0,0.0
2018-01-03 01:00:00,-1.2,55.76,1.54,350.0,0.0,0.0,0.0
2018-01-03 02:00:00,-0.8,53.73,2.06,20.0,0.0,0.0,0.0
2018-01-03 03:00:00,-0.5,55.09,2.57,30.0,0.0,0.0,0.0
2018-01-03 04:00:00,-0.7,56.78,0.0,0.0,0.0,0.0,0.0
2018-01-03 05:00:00,-0.7,56.78,1.54,280.0,0.0,0.0,0.0
2018-01-03 06:00:00,-0.6,61.86,0.0,0.0,0.0,0.0,0.0
2018-01-03 07:00:00,-0.5,62.85,0.0,0.0,0.0,0.0,0.0
2018-01-03 08:00:00,0.2,54.01,2.57,340.0,37.0,88.0,28.0
2018-01-03 09:00:00,1.4,44.04,0.0,0.0,151.0,226.5,91.5
2018-01-03 10:00:00,2.6,32.85,1.54,290.0,281.0,331.0,151.5
2018-01-03 11:00:00,3.9,27.86,4.12,320.0,391.0,402.5,184.0
2018-01-03 12:00:00,5.4,27.87,3.09,340.0,576.5,834.0,108.0
2018-01-03 13:00:00,6.4,27.95,2.57,320.0,609.0,928.0,84.0
2018-01-03 14:00:00,7.1,21.95,3.6,300.0,554.5,920.5,77.5
2018-01-03 15:00:00,7.0,21.92,4.12,300.0,435.5,874.0,67.5
2018-01-03 16:00:00,6.4,23.99,3.09,300.0,272.5,773.0,54.0
2018-01-03 17:00:00,4.8,27.02,3.09,300.0,90.5,492.5,31.5
2018-01-03 18:00:00,3.2,27.88,2.57,300.0,1.0,15.0,1.5
2018-01-03 19:00:00,2.1,29.9,1.54,290.0,0.0,0.0,0.0
2018-01-03 20:00:00,1.0,38.05,1.54,290.0,0.0,0.0,0.0
2018-01-03 21:00:00,0.8,33.91,3.09,300.0,0.0,0.0,0.0
2018-01-03 22:00:00,0.4,32.96,3.09,310.0,0.0,0.0,0.0
2018-01-03 23:00:00,0.0,32.84,4.63,300.0,0.0,0.0,0.0
2018-01-04 00:00:00,-0.6,34.02,4.63,300.0,0.0,0.0,0.0
2018-01-04 01:00:00,-1.2,38.9,3.09,300.0,0.0,0.0,0.0
2018-01-04 02:00:00,-1.6,40.72,3.09,300.0,0.0,0.0,0.0
2018-01-04 03:00:00,-2.0,44.04,3.09,290.0,0.0,0.0,0.0
2018-01-04 04:00:00,-2.6,46.79,3.09,290.0,0.0,0.0,0.0
2018-01-04 05:00:00,-3.1,50.97,3.6,290.0,0.0,0.0,0.0
2018-01-04 06:00:00,-3.3,53.86,3.09,300.0,0.0,0.0,0.0
2018-01-04 07:00:00,-3.6,56.87,3.6,290.0,0.0,0.0,0.0
2018-01-04 08:00:00,-2.8,54.87,4.63,300.0,62.5,383.0,24.5
2018-01-04 09:00:00,-1.3,49.9,5.14,310.0,245.0,772.5,47.0
2018-01-04 10:00:00,0.5,42.05,5.14,320.0,420.0,906.0,57.0
2018-01-04 11:00:00,2.2,36.05,3.09,280.0,551.0,966.0,63.0
2018-01-04 12:00:00,2.7,31.84,4.63,280.0,586.0,873.0,96.0
2018-01-04 13:00:00,4.1,27.92,3.09,280.0,623.5,980.0,67.0
2018-01-04 14:00:00,5.0,23.97,4.63,300.0,565.0,966.0,63.0
2018-01-04 15:00:00,5.4,22.93,5.14,310.0,444.5,916.0,56.5
2018-01-04 16:00:00,4.4,22.83,4.63,320.0,278.0,808.0,48.0
2018-01-04 17:00:00,2.4,27.86,3.6,310.0,94.0,534.0,29.0
2018-01-04 18:00:00,1.3,30.89,2.57,300.0,1.0,18.5,1.5
2018-01-04 19:00:00,0.4,34.9,3.09,300.0,0.0,0.0,0.0
2018-01-04 20:00:00,-1.1,39.9,2.06,300.0,0.0,0.0,0.0
2018-01-04 21:00:00,-1.7,42.04,2.06,320.0,0.0,0.0,0.0
2018-01-04 22:00:00,-1.9,39.0,0.0,0.0,0.0,0.0,0.0
2018-01-04 23:00:00,-2.6,43.85,2.06,310.0,0.0,0.0,0.0
2018-01-05 00:00:00,-3.2,48.93,3.09,350.0,0.0,0.0,0.0
2018-01-05 01:00:00,-3.7,47.99,2.06,350.0,0.0,0.0,0.0
2018-01-05 02:00:00,-3.7,47.99,2.57,340.0,0.0,0.0,0.0
2018-01-05 03:00:00,-3.9,50.73,0.0,0.0,0.0,0.0,0.0
2018-01-05 04:00:00,-4.7,55.66,2.06,360.0,0.0,0.0,0.0
2018-01-05 05:00:00,-4.9,51.68,2.06,340.0,0.0,0.0,0.0
2018-01-05 06:00:00,-5.2,58.75,1.54,300.0,0.0,0.0,0.0
2018-01-05 07:00:00,-5.6,64.06,1.54,310.0,0.0,0.0,0.0
2018-01-05 08:00:00,-4.0,59.07,0.0,0.0,61.0,367.5,25.0
2018-01-05 09:00:00,-1.8,40.99,2.57,20.0,224.5,675.0,54.5
2018-01-05 10:00:00,-0.2,32.77,1.54,30.0,396.5,817.0,70.0
2018-01-05 11:00:00,2.2,28.96,2.06,280.0,517.5,852.0,85.5
2018-01-05 12:00:00,4.0,23.87,2.57,320.0,533.0,704.0,137.0
2018-01-05 13:00:00,5.3,19.9,2.06,330.0,536.0,697.5,139.0
2018-01-05 14:00:00,6.2,21.88,2.06,260.0,559.0,932.5,72.0
2018-01-05 15:00:00,7.3,20.96,2.06,220.0,437.5,871.5,66.5
2018-01-05 16:00:00,7.3,19.95,2.06,310.0,272.5,755.5,55.0
2018-01-05 17:00:00,5.6,25.98,0.0,0.0,87.5,425.0,35.0
2018-01-05 18:00:00,1.7,41.76,0.0,0.0,1.0,15.0,1.5
2018-01-05 19:00:00,-0.8,59.0,0.0,0.0,0.0,0.0,0.0
2018-01-05 20:00:00,-1.4,66.1,0.0,0.0,0.0,0.0,0.0
2018-01-05 21:00:00,-2.2,70.66,0.0,0.0,0.0,0.0,0.0
2018-01-05 22:00:00,-2.1,66.97,0.0,0.0,0.0,0.0,0.0
2018-01-05 23:00:00,-3.2,84.08,0.0,0.0,0.0,0.0,0.0
2018-01-06 00:00:00,-2.8,81.61,0.0,0.0,0.0,0.0,0.0
2018-01-06 01:00:00,-3.2,92.78,0.0,0.0,0.0,0.0,0.0
2018-01-06 02:00:00,-4.4,89.92,0.0,0.0,0.0,0.0,0.0
2018-01-06 03:00:00,-4.5,89.91,0.0,0.0,0.0,0.0,0.0
2018-01-06 04:00:00,-4.2,78.94,1.54,40.0,0.0,0.0,0.0
2018-01-06 05:00:00,-3.0,74.99,0.0,0.0,0.0,0.0,0.0
2018-01-06 06:00:00,-3.2,79.1,0.0,0.0,0.0,0.0,0.0
2018-01-06 07:00:00,-3.1,74.97,0.0,0.0,0.0,0.0,0.0
2018-01-06 08:00:00,-2.0,74.03,0.0,0.0,40.5,120.0,28.0
2018-01-06 09:00:00,-0.4,64.83,0.0,0.0,169.5,339.5,83.5
